캐릭터리스트																																	일반용병-0		
2004-05-21  10시																																	장수-1		
hq에 들어감			X=적용불가																		봉인의 구슬 개수 = 몬스터 고용 가능 레벨 / 10												몬스터-2		
김영나	전체숫자안쓰임	이름코드	X	X	국가별분류	힘	민첩	생명력	지력	기본방어력	기본레벨	무게	물리방어력	마법방어력	최소데미지	최고데미지	db에서만사용	db에서만사용	db에서만사용	고용가격	고용가능렙(봉인의돌 개수 정함)	장비무기	고용신등	주는아이템	확률	주는아이템	확률	주는아이템	확률	X	X	설명	구분	X	
Character ID	Name	Name Code	CurEXP	MyEXP	Nation	Str	Dex	Vit	Int	AC	Level	LiftConstant	DamageResist	MagicResist	EquipMinDamage	EquipMaxDamage	MoveSpeed	Life	Mana	Cost	NeedLevel	WeaponType	Need Credit	Item Drop1	Percent1	Item Drop2	Percent2	Item Drop3	Percent3	Gold Drop	Percent4	Desc Text	General	Attack Type	"MonsterType(0:none,1:weak,2:strong,3:boss,4:boss 이면서 포박 안되는경우)"
C00	조철희	100001	10	0	1	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C01	이명화	100100	10	0	1	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C34	시마다료	100002	10	0	10	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C35	겐노	100101	10	0	10	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C40	왕소룡	100244	10	0	1000	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C41	왕미령	100245	10	0	1000	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C90	운영자1	100217	10	0	1	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C50	당호엽 	100277	0	0	100	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
C51	노수연	100278	0	0	100	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
M00	아귀	100003	135	100	0	80	55	100	20	60	1	100	30	0	35	45	4	400	80	60000	60	0	60	402	100000	380	100000	422	100000	0	0	0	2	3	1
M01	호랑이	100004	18	100	0	20	35	10	0	10	1	100	0	0	6	11	6	40	0	16000	16	0	16	66	17000000	640	17000000	556	700000	0	0	0	2	4	1
M02	요수목	100005	10	100	0	15	25	7	0	5	1	100	0	0	3	5	4	28	0	6000	6	0	6	160	17000000	157	17000000	525	1000000	0	0	0	2	2	1
M03	식귀	100006	100	100	0	60	55	120	0	65	1	100	0	0	18	22	5	480	0	46000	46	0	46	199	3000000	628	1000000	460	200000	0	0	0	2	3	1
M04	온천원숭이	100007	50	120	0	35	35	30	0	25	1	100	20	0	18	25	5	120	0	26000	26	0	26	640	15000000	641	15000000	455	500000	0	0	0	2	3	1
M05	견신	100008	39	100	0	50	55	25	0	20	1	100	0	0	17	33	5	100	0	48000	48	craw	48	619	500000	147	12000000	559	500000	0	0	4010244	2	4	1
M06	꼬마산적	100009	4	100	0	12	10	4	0	4	1	100	0	0	1	2	4	16	0	5000	5	0	5	610	1300000	19	20000000	550	1300000	30	200	0	2	2	1
M07	산적	100010	4	100	0	14	11	5	0	5	1	100	0	0	2	3	4	20	0	7000	7	0	7	613	1000000	140	20000000	431	1000000	0	0	0	2	2	1
M08	철퇴산적	100014	11	100	0	25	25	8	0	9	1	100	0	0	2	4	3	32	0	10000	10	0	10	82	5000000	55	15000000	393	1000000	100	200	0	2	2	1
M09	갓파	100016	50	150	0	30	25	20	0	15	1	100	0	0	6	10	4	80	0	28000	28	0	28	643	1500000	24	17000000	376	700000	0	0	0	2	3	1
M10	각다귀	100017	36	100	0	35	50	25	2	20	1	100	0	0	13	17	4	100	8	32000	32	0	32	155	15000000	151	15000000	415	500000	0	0	0	2	3	1
M11	도깨비	100018	40	120	0	40	40	35	10	23	1	100	0	0	15	18	4	140	40	37000	37	0	37	154	15000000	151	15000000	377	500000	300	200	0	2	3	1
M12	구미호	100019	13	130	0	25	18	6	10	9	1	100	0	0	2	4	4	24	40	26000	26	0	26	70	100000	152	17000000	496	1000000	0	0	4010232	2	2	1
M13	불가사리	100020	65	200	0	20	20	40	10	10	1	100	0	0	1	3	4	160	40	35000	35	0	35	642	1000000	150	17000000	606	400000	0	0	4010234	2	3	1
M14	오니	100400	152	100	0	150	70	180	0	55	1	100	0	0	32	44	4	720	0	50000	50	0	50	758	100000	786	100000	483	200000	0	0	8000690	2	4	1
M15	화룡	100401	1080	100	0	400	700	800	150	234	1	100	95	80	180	220	4	3200	600	100000	100	0	100	206	500000	549	100000	0	0	0	0	0	2	1	3
M16	설인	100402	36	100	0	35	45	30	10	20	1	100	0	20	6	7	4	120	40	30000	30	0	30	109	15000000	641	15000000	502	500000	0	0	0	2	4	1
M17	털가면	100403	43	150	0	25	35	20	25	15	1	100	0	0	5	8	4	80	100	35000	35	0	35	180	17000000	153	17000000	395	700000	0	0	4010243	2	3	1
M18	궁수산적	100404	10	130	0	15	20	5	0	6	1	100	0	0	2	3	4	20	0	16000	16	Arrow	16	773	1000000	771	3500000	413	1000000	100	200	4010233	2	2	1
M19	황룡	100405	777	100	0	300	600	500	120	200	1	100	95	80	120	180	4	2000	480	100000	100	0	100	440	500000	195	100000	0	0	0	0	0	2	1	3
M20	박쥐	100406	55	250	0	25	18	20	0	15	1	100	0	30	4	7	5	80	0	15000	15	0	15	747	700000	640	17000000	527	700000	0	0	0	2	1	1
M21	두꺼비	100407	42	140	0	30	40	25	10	18	1	100	0	30	11	15	4	100	40	31000	31	0	31	640	4000000	158	6000000	435	500000	0	0	0	2	3	1
M22	독지네	100408	180	100	0	120	90	200	0	80	1	100	20	20	54	65	4	800	0	103000	103	0	103	441	100000	423	100000	539	200000	0	0	4010247	2	4	1
M23	두억시니	100409	37	100	0	45	38	30	0	17	1	100	0	0	12	23	4	120	0	36000	36	0	36	188	4000000	749	500000	530	500000	400	200	0	2	4	1
M24	사슴	100410	3	100	0	10	12	3	0	4	1	200	0	0	1	2	5	12	0	21000	21	0	21	143	10000000	741	5000000	430	1300000	0	0	4010231	2	1	1
M25	너구리	100411	4	100	0	10	10	4	0	4	1	100	0	0	1	2	4	16	0	3000	3	0	3	143	10000000	741	5000000	412	1300000	0	0	0	2	1	1
M26	왜구	100412	4	100	0	16	10	4	0	4	1	100	0	0	3	4	4	16	0	11000	11	sword	11	375	2500000	374	17000000	493	1300000	50	200	4010242	2	2	1
M27	조총왜구	100413	9	130	0	17	10	5	0	5	1	100	0	0	3	4	4	20	0	10000	10	0	10	616	700000	346	17000000	449	1000000	110	200	0	2	2	1
M28	설녀	100414	136	170	0	90	95	80	20	35	1	100	20	30	30	45	4	320	80	80000	80	0	80	364	12000000	625	300000	480	300000	0	0	4010246	2	4	1
M29	강시	100415	56	200	0	800	500	200	300	300	1	100	120	200	120	150	5	800	1200	40000	40	0	40	15	1000000	15	6000000	456	400000	0	0	0	2	4	1
M30	돌하루방	100416	112	100	0	100	70	110	0	65	1	100	50	0	34	40	4	440	0	85000	85	0	85	148	12000000	149	12000000	568	200000	0	0	4010237	2	4	1
M31	바다게	100417	110	100	0	65	60	80	10	45	1	100	30	0	16	20	3	320	40	50000	50	0	50	742	12000000	179	12000000	508	300000	0	0	0	2	4	1
